ccmaName,ccbaMnm1,longtitude,latitude
국보,백지묵서 묘법연화경,126.9183525,37.4810717
국보,대불정여래밀인수증요의제보살만행수능엄경(언해),126.9985492,37.5592488
국보,금동탑,126.9961867,37.5365283
국보,흥왕사명 청동 은입사 향완,126.9961867,37.5365283
국보,감지은니 대방광불화엄경 정원본 권31,126.9961867,37.5365283
국보,정선 필 인왕제색도,126.9654442,37.5384272
국보,정선 필 금강전도,126.9961867,37.5365283
국보,아미타삼존도,126.9654442,37.5384272
국보,백자 청화매죽문 항아리,126.9961867,37.5365283
국보,청자 상감용봉모란문 합 및 탁,126.9961867,37.5365283
국보,백자 청화매죽문 유개항아리,126.9183525,37.4810717
국보,경복궁 근정전,126.976953,37.578342
국보,경복궁 경회루,126.975569,37.579201
국보,창덕궁 인정전,126.991100008613,37.5793794729159
국보,창경궁 명정전,126.995008,37.578748
국보,종묘 정전,126.993857,37.574782
국보,천상열차분야지도 각석,126.974851135691,37.576571075929
국보,창경궁 자격루 누기,126.9750217,37.565897
국보,전 영암 거푸집 일괄,126.9521283,37.5073799
국보,감지은니 묘법연화경,126.9654442,37.5384272
국보,감지금니 대방광불화엄경보현행원품,126.9654442,37.5384272
국보,송시열 초상,126.980350241652,37.5240413763397
국보,초조본 현양성교론 권11,126.9654442,37.5384272
국보,초조본 신찬일체경원품차록 권20,126.980350241652,37.5240413763397
국보,초조본 대보적경 권59,126.980350241652,37.5240413763397
국보,청자 음각‘효문’명 연화문 매병,126.9961867,37.5365283
국보,청자 양각연화당초상감모란문 은테 발,126.980350241652,37.5240413763397
국보,전 덕산 청동방울 일괄,126.9654442,37.5384272
국보,백자 청화죽문 각병,126.9961867,37.5365283
국보,분청사기 상감운룡문 항아리,126.980350241652,37.5240413763397
국보,분청사기 박지철채모란문 자라병,126.980350241652,37.5240413763397
국보,백자 유개항아리,126.9961867,37.5365283
국보,초조본 대방광불화엄경 주본 권13,126.9793579,37.5729503
국보,"초조본 대방광불화엄경 주본 권2,75",126.9183525,37.4810717
국보,초조본 아비달마식신족론 권12,126.9183525,37.4810717
국보,"초조본 아비담비바사론 권11, 17",126.9183525,37.4810717
국보,초조본 불설최상근본대락금강불공삼매대교왕경 권6,126.9183525,37.4810717
국보,청자 모자원숭이모양 연적,127.0182146,37.589116
국보,초조본 현양성교론 권12,126.980350241652,37.5240413763397
국보,초조본 유가사지론 권32,126.980350241652,37.5240413763397
국보,초조본 유가사지론 권15,126.980350241652,37.5240413763397
국보,성거산 천흥사명 동종,126.980350241652,37.5240413763397
국보,백자 병형 주전자,126.9183525,37.4810717
국보,백자 ‘천’ ‘지’ ‘현’ ‘황‘명 발,126.9654442,37.5384272
국보,용감수경 권3~4,127.0191886,37.5887581
국보,백자 청화철채동채초충문 병,127.0182146,37.589116
국보,승정원일기,126.95045327355,37.4623506678375
국보,삼국유사,126.95045327355,37.4623506678375
국보,백자 달항아리(2007-1),126.9961867,37.5365283
국보,백자 달항아리(2007-2),126.974851135691,37.576571075929
국보,동의보감(2015-1),127.00303781214,37.4974828311898
국보,동의보감(2015-3),126.95045327355,37.4623506678375
보물,서울 흥인지문,127.009658622204,37.5711309760079
보물,옛 보신각 동종,126.980350241652,37.5240413763397
보물,서울 원각사지 대원각사비,126.988634645148,37.5710693985849
보물,사인비구 제작 동종 - 서울 화계사 동종,127.0072993,37.6325695
보물,"용감수경<제3권,4권>",127.0215512,37.588468
보물,서울 문묘 및 성균관<대성전·동무·서무·삼문·명륜당>,126.995994624414,37.5855354277329
보물,서울 동관왕묘,127.018335917946,37.5729670160827
보물,서울 홍제동 오층석탑,126.980990206749,37.5220588823306
보물,사직단 대문,126.968631844562,37.5757020421186
보물,원주 거돈사지 원공국사탑,126.981527249521,37.5234646677992
보물,금동관세음보살입상,126.9765897,37.5862294
보물,서울 북한산 구기동 마애여래좌상,126.9594372,37.62708343
보물,서울 장의사지 당간지주,126.961218781656,37.6027003160317
보물,백자 박산형뚜껑 향로,127.0182146,37.589116
보물,백자 청화투각모란당초문 항아리,126.980350241652,37.5240413763397
