name,latitude,longtitude
경희대학교,37.5939491407769,127.054890960564
DDP(동대문디자인플라자),37.5668131264,127.0096257245
우란2경,37.5437897702564,127.054416929987
구립은평뉴타운도서관,37.63723039689538,126.93311834754995
노원문화예술회관,37.65023585990375,127.08026925498874
서울시립미술관 SeMA창고,37.6093347203718,126.93434043975662
동숭무대,37.58868965585108,126.99917120271677
김영옥 미술관,37.5938781052674,126.964253937947
한국미술박물관,37.5808916,126.9890575
금천예술공장,37.4689151172,126.8919130351
송파도서관,37.4999953511054,127.134851529414
세종대왕기념관,37.5909928893989,127.042703170101
북촌 서울무형문화재 교육전시장,37.5769527,126.9911313
독일문화원,37.5507720,126.9828149
영국문화원,37.5696296,126.9721884
고척도서관,37.5053199924985,126.853039264745
양천구민체육센터,37.5165626,126.8644841
강북 문화예술회관,37.6408544,127.0133421
용산도시기억전시관,37.5268663293705,126.966879673505
광진교 8번가,37.5451462595072,127.112687934633
서울생활사박물관,37.6189510142108,127.076783607411
공평도시유적전시관,37.5714966636936,126.983659015157
양천문화재단,37.5165209333904,126.863340014538
국립한글박물관,37.52124302266645,126.98085981255221
강동아트센터,37.551449,127.157598
세종문화회관,37.5726241,126.9760053
은평문화예술회관,37.6039162966,126.9283646429
영등포평생학습관,37.5260740,126.9073520
양천구 해누리타운 아트홀,37.515830,126.863811
동대문문화회관,37.5717914,127.0637934
도봉도서관,37.6525474596619,127.012772246644
강북구청,37.6397480,127.0254820
구로구청,37.4954720,126.8875360
노들섬 복합문화공간,37.5176638307111,126.958036465507
문래정보문화도서관,37.5169513,126.8908871
구로구립꿈나무어린이도서관,37.4895362,126.8863800
동대문구민체육센터,37.5665701,127.0734247
한국방송회관 코바코홀,37.526981693329,126.871394248566
중구평생학습센터,37.563755,126.997541
삼성미술관 리움,37.5384609092,126.9992939585
반포심산아트홀,37.4988344628,126.9912424758
갤러리 인,37.5816953,126.9804329
한미사진미술관,37.5165925928554,127.113956209115
관악문화관도서관,37.4677179,126.9445375
송파구체육문화회관,37.4906482,127.1427868
정동극장,37.5658626,126.9728014
종로구민회관,37.5734077,127.0143152
구립증산정보도서관,37.5827270,126.9075589
양천구청,37.5170160,126.8666420
신월문화체육센터,37.5198479,126.8350363
강서구시설관리공단,37.5530024,126.8484762
자양4동도서관,37.5340938,127.0662260
한성백제박물관,37.515505,127.121175
한국분재박물관,37.4531367590412,127.075803211835
롯데월드 가든스테이지,37.5113096112036,127.098141751177
예술가의집,37.5805022887696,127.003256182632
가람화랑,37.5742750,126.9855750
간송미술관,37.5936596,126.9969050
예지원,37.5517333,127.0024000
송중문화정보센터,37.6183421,127.0300330
롯데월드 아이스링크,37.5113096112036,127.098141751177
육영재단 어린이회관,37.5472460029599,127.078304434841
온조대왕문화체육관,37.5567379,127.1574722
용산문화체육센터,37.5373623,126.9676924
서울연극센터,37.5833444,127.0013025
성동구립도서관,37.5592667,127.0349875
동대문구민회관,37.5672385,127.0733795
종로도서관,37.5764744,126.9664576
마포아트센터,37.5499060881738,126.945533810385
국립현대미술관,37.5658456,126.9737396
강북청소년문화정보도서관,37.6231131,127.0216031
국립현대미술관 서울관,37.579482,126.980363
종로문화원,37.5761054,126.9803283
어린이도서관,37.5765345,126.9678698
동대문구청,37.5745240,127.0396500
서울문화재단,37.5715090,127.0337136
LG아트센터 서울,37.5653629860767,126.829388763217
올림픽기념국민생활관,37.5904911,126.9988244
광진정보도서관,37.5507093,127.1103315
포스트극장,37.5541249044242,126.929648387272
서울시립 남서울미술관,37.4760535374985,126.979465861688
전통연희상설극장 광화문아트홀,37.57426,126.9624155
문화정원아트홀,37.4718013047734,126.896008983523
스튜디오 콘크리트,37.5424505123,127.0025165385
시민청,37.566634997636804,126.97867495087418
성수아트홀,37.5454144938,127.0469742265
블루스퀘어(Blue Square),37.5407025699,127.002647735
동작구청,37.5124500,126.9395000
강남문화재단,37.5163196785267,127.042314793327
서울풍물시장 전통문화체험관,37.5727131853349,127.025502937291
한국사회과학도서관,37.5735320,126.9644200
우리금융아트홀,37.5203396980951,127.115517876627
중구청소년수련관,37.5518562991,127.0125661668
동작도서관,37.5059908,126.9401667
서대문도서관,37.5833186200007,126.940858017289
민속극장풍류,37.5099100,127.0443640
한국의 집 민속극장,37.5603974,126.9946116
강남스포츠문화센터,37.4891013,127.1052500
대진체육관,37.4960680,127.0787594
영등포문화원,37.5152408,126.9108259
흑석체육센터,37.5099926,126.9633745
사당문화회관,37.4846843,126.9695831
국립국어원 우리말 꿈터,37.579155054659,126.81383542564
건국대학교 박물관,37.539182674872,127.074711902268
서초구민체육센터,37.4987920,126.9905045
송파구청,37.5145160,127.1062440
송파구립거마도서정보센터,37.4935731,127.1468821
서초문화예술회관 (구 서초구민회관),37.4817093895781,127.035861246232
연세대학교 김대중도서관,37.5569823830529,126.929590018517
남산도서관,37.5530786,126.9813340
최순우 옛집,37.5929768495688,127.000349881218
서서울예술교육센터,37.5282197824835,126.832145349117
학고재,37.5803760,126.9802633
남산골한옥마을,37.5591447,126.9936826
코엑스 오디토리움,37.5125518,127.0587767
국립고궁박물관,37.5766678,126.9749224
떡· 부엌살림 박물관,37.5749730,126.9906760
강남구청,37.5173050,127.0475020
중구여성플라자,37.5612768658,127.0148313923
관악문화원,37.4675533645757,126.944962394132
강남구민체육관,37.4771320,127.0518293
강동구립해공도서관,37.5439721,127.1255997
허준박물관,37.5678724473689,126.851031243879
서울강서문화원,37.5446931021178,126.843754990234
아리향기작은도서관,37.5537362431,126.870985349
목동아이스링크,37.5307960,126.8792670
